task_id,task_name,difficulty,tags,language,result,pass_cnt,Memory,Runtime
5,Longest Palindromic Substring,Medium,"Two Pointers, String, Dynamic Programming",cpp,Accepted,1 / 1,74.88,91.97
5,Longest Palindromic Substring,Medium,"Two Pointers, String, Dynamic Programming",java,Accepted,1 / 1,93.47,88.01
5,Longest Palindromic Substring,Medium,"Two Pointers, String, Dynamic Programming",python3,Accepted,1 / 1,95.75,60.83
6,Zigzag Conversion,Medium,String,c,Accepted,1 / 1,45.57,74.21
6,Zigzag Conversion,Medium,String,cpp,Accepted,1 / 1,45.59,75.89
6,Zigzag Conversion,Medium,String,java,Accepted,1 / 1,97.09,70.58
6,Zigzag Conversion,Medium,String,python3,Accepted,1 / 1,91.08,97.86
7,Reverse Integer,Medium,Math,c,Accepted,1 / 1,94.9,100.0
7,Reverse Integer,Medium,Math,cpp,Accepted,1 / 1,86.8,100.0
7,Reverse Integer,Medium,Math,java,Accepted,1 / 1,19.52,77.32
7,Reverse Integer,Medium,Math,python3,Accepted,1 / 1,58.51,50.84
8,String to Integer (atoi),Medium,String,c,Accepted,1 / 1,27.81,18.67
8,String to Integer (atoi),Medium,String,cpp,Accepted,1 / 1,90.61,23.33
8,String to Integer (atoi),Medium,String,java,Accepted,1 / 1,84.76,100.0
8,String to Integer (atoi),Medium,String,python3,Accepted,1 / 1,94.27,88.24
9,Palindrome Number,Easy,Math,c,Accepted,1 / 1,48.73,68.63
9,Palindrome Number,Easy,Math,cpp,Accepted,1 / 1,78.84,60.06
9,Palindrome Number,Easy,Math,java,Accepted,1 / 1,81.12,73.23
9,Palindrome Number,Easy,Math,python3,Accepted,1 / 1,14.03,72.16
10,Regular Expression Matching,Hard,"String, Dynamic Programming, Recursion",c,Accepted,1 / 1,81.86,5.83
10,Regular Expression Matching,Hard,"String, Dynamic Programming, Recursion",cpp,Accepted,1 / 1,45.65,69.34
10,Regular Expression Matching,Hard,"String, Dynamic Programming, Recursion",java,Accepted,1 / 1,5.02,7.4
10,Regular Expression Matching,Hard,"String, Dynamic Programming, Recursion",python3,Accepted,1 / 1,47.23,75.57
11,Container With Most Water,Medium,"Array, Two Pointers, Greedy",c,Accepted,1 / 1,17.09,70.99
11,Container With Most Water,Medium,"Array, Two Pointers, Greedy",cpp,Accepted,1 / 1,25.53,9.03
11,Container With Most Water,Medium,"Array, Two Pointers, Greedy",java,Accepted,1 / 1,61.32,67.88
11,Container With Most Water,Medium,"Array, Two Pointers, Greedy",python3,Accepted,1 / 1,97.13,9.13
12,Integer to Roman,Medium,"Hash Table, Math, String",c,Accepted,1 / 1,93.55,74.6
12,Integer to Roman,Medium,"Hash Table, Math, String",cpp,Accepted,1 / 1,28.17,59.13
12,Integer to Roman,Medium,"Hash Table, Math, String",java,Accepted,1 / 1,49.79,97.17
12,Integer to Roman,Medium,"Hash Table, Math, String",python3,Accepted,1 / 1,88.78,94.09
13,Roman to Integer,Easy,"Hash Table, Math, String",c,Accepted,1 / 1,5.25,58.05
13,Roman to Integer,Easy,"Hash Table, Math, String",cpp,Accepted,1 / 1,41.16,92.59
13,Roman to Integer,Easy,"Hash Table, Math, String",java,Accepted,1 / 1,73.59,100.0
13,Roman to Integer,Easy,"Hash Table, Math, String",python3,Accepted,1 / 1,16.42,74.7
14,Longest Common Prefix,Easy,"String, Trie",c,Accepted,1 / 1,84.22,35.16
14,Longest Common Prefix,Easy,"String, Trie",cpp,Accepted,1 / 1,60.26,100.0
14,Longest Common Prefix,Easy,"String, Trie",java,Accepted,1 / 1,81.78,100.0
14,Longest Common Prefix,Easy,"String, Trie",python3,Accepted,1 / 1,82.05,75.61
15,3Sum,Medium,"Array, Two Pointers, Sorting",c,Accepted,1 / 1,60.84,49.3
15,3Sum,Medium,"Array, Two Pointers, Sorting",cpp,Accepted,1 / 1,63.33,88.81
15,3Sum,Medium,"Array, Two Pointers, Sorting",java,Accepted,1 / 1,54.33,77.05
15,3Sum,Medium,"Array, Two Pointers, Sorting",python3,Accepted,1 / 1,69.45,47.21
16,3Sum Closest,Medium,"Array, Two Pointers, Sorting",c,Accepted,1 / 1,55.85,57.71
16,3Sum Closest,Medium,"Array, Two Pointers, Sorting",cpp,Accepted,1 / 1,65.12,44.46
16,3Sum Closest,Medium,"Array, Two Pointers, Sorting",java,Accepted,1 / 1,31.43,82.76
16,3Sum Closest,Medium,"Array, Two Pointers, Sorting",python3,Accepted,1 / 1,6.31,54.64
17,Letter Combinations of a Phone Number,Medium,"Hash Table, String, Backtracking",c,Accepted,1 / 1,68.13,53.85
17,Letter Combinations of a Phone Number,Medium,"Hash Table, String, Backtracking",cpp,Accepted,1 / 1,92.08,100.0
17,Letter Combinations of a Phone Number,Medium,"Hash Table, String, Backtracking",java,Accepted,1 / 1,47.88,12.46
17,Letter Combinations of a Phone Number,Medium,"Hash Table, String, Backtracking",python3,Accepted,1 / 1,81.82,91.95
18,4Sum,Medium,"Array, Two Pointers, Sorting",c,Runtime Error,283 / 294,,
18,4Sum,Medium,"Array, Two Pointers, Sorting",cpp,Accepted,1 / 1,78.67,63.95
18,4Sum,Medium,"Array, Two Pointers, Sorting",java,Accepted,1 / 1,57.48,44.1
18,4Sum,Medium,"Array, Two Pointers, Sorting",python3,Accepted,1 / 1,8.06,90.73
19,Remove Nth Node From End of List,Medium,"Linked List, Two Pointers",c,Accepted,1 / 1,19.13,46.29
19,Remove Nth Node From End of List,Medium,"Linked List, Two Pointers",cpp,Accepted,1 / 1,62.53,18.93
19,Remove Nth Node From End of List,Medium,"Linked List, Two Pointers",java,Accepted,1 / 1,17.3,100.0
19,Remove Nth Node From End of List,Medium,"Linked List, Two Pointers",python3,Accepted,1 / 1,83.46,51.99
20,Valid Parentheses,Easy,"String, Stack",c,Accepted,1 / 1,30.63,54.1
20,Valid Parentheses,Easy,"String, Stack",cpp,Accepted,1 / 1,32.57,42.03
20,Valid Parentheses,Easy,"String, Stack",java,Accepted,1 / 1,72.27,98.89
20,Valid Parentheses,Easy,"String, Stack",python3,Accepted,1 / 1,64.81,67.31
21,Merge Two Sorted Lists,Easy,"Linked List, Recursion",c,Accepted,1 / 1,76.2,100.0
21,Merge Two Sorted Lists,Easy,"Linked List, Recursion",cpp,Accepted,1 / 1,75.07,83.56
21,Merge Two Sorted Lists,Easy,"Linked List, Recursion",java,Accepted,1 / 1,79.36,100.0
21,Merge Two Sorted Lists,Easy,"Linked List, Recursion",python3,Accepted,1 / 1,89.49,45.03
22,Generate Parentheses,Medium,"String, Dynamic Programming, Backtracking",c,Accepted,1 / 1,52.83,43.02
22,Generate Parentheses,Medium,"String, Dynamic Programming, Backtracking",cpp,Accepted,1 / 1,54.31,48.46
22,Generate Parentheses,Medium,"String, Dynamic Programming, Backtracking",java,Accepted,1 / 1,44.45,52.29
22,Generate Parentheses,Medium,"String, Dynamic Programming, Backtracking",python3,Accepted,1 / 1,81.24,26.91
23,Merge k Sorted Lists,Hard,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",c,Accepted,1 / 1,27.47,88.86
23,Merge k Sorted Lists,Hard,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",cpp,Accepted,1 / 1,86.31,61.71
23,Merge k Sorted Lists,Hard,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",java,Accepted,1 / 1,84.69,74.24
23,Merge k Sorted Lists,Hard,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",python3,Accepted,1 / 1,33.5,82.27
24,Swap Nodes in Pairs,Medium,"Linked List, Recursion",c,Accepted,1 / 1,45.48,50.13
24,Swap Nodes in Pairs,Medium,"Linked List, Recursion",cpp,Accepted,1 / 1,46.31,38.42
24,Swap Nodes in Pairs,Medium,"Linked List, Recursion",java,Accepted,1 / 1,84.81,100.0
24,Swap Nodes in Pairs,Medium,"Linked List, Recursion",python3,Accepted,1 / 1,97.74,76.66
25,Reverse Nodes in k-Group,Hard,"Linked List, Recursion",c,Runtime Error,0 / 62,,
25,Reverse Nodes in k-Group,Hard,"Linked List, Recursion",cpp,Accepted,1 / 1,77.7,52.21
25,Reverse Nodes in k-Group,Hard,"Linked List, Recursion",java,Accepted,1 / 1,36.49,33.01
25,Reverse Nodes in k-Group,Hard,"Linked List, Recursion",python3,Accepted,1 / 1,93.49,41.53
26,Remove Duplicates from Sorted Array,Easy,"Array, Two Pointers",c,Accepted,1 / 1,91.61,27.97
26,Remove Duplicates from Sorted Array,Easy,"Array, Two Pointers",cpp,Accepted,1 / 1,91.05,55.4
26,Remove Duplicates from Sorted Array,Easy,"Array, Two Pointers",java,Accepted,1 / 1,51.05,76.51
26,Remove Duplicates from Sorted Array,Easy,"Array, Two Pointers",python3,Accepted,1 / 1,84.66,43.89
27,Remove Element,Easy,"Array, Two Pointers",c,Accepted,1 / 1,23.66,100.0
27,Remove Element,Easy,"Array, Two Pointers",cpp,Accepted,1 / 1,40.9,100.0
27,Remove Element,Easy,"Array, Two Pointers",java,Accepted,1 / 1,92.7,100.0
27,Remove Element,Easy,"Array, Two Pointers",python3,Accepted,1 / 1,98.43,35.48
28,Find the Index of the First Occurrence in a String,Easy,"Two Pointers, String, String Matching",c,Accepted,1 / 1,28.11,33.82
28,Find the Index of the First Occurrence in a String,Easy,"Two Pointers, String, String Matching",cpp,Accepted,1 / 1,50.38,42.38
28,Find the Index of the First Occurrence in a String,Easy,"Two Pointers, String, String Matching",java,Accepted,1 / 1,34.62,100.0
28,Find the Index of the First Occurrence in a String,Easy,"Two Pointers, String, String Matching",python3,Accepted,1 / 1,82.73,75.79
29,Divide Two Integers,Medium,"Math, Bit Manipulation",c,Accepted,1 / 1,68.6,31.95
29,Divide Two Integers,Medium,"Math, Bit Manipulation",cpp,Accepted,1 / 1,56.0,49.11
29,Divide Two Integers,Medium,"Math, Bit Manipulation",java,Accepted,1 / 1,79.37,68.8
29,Divide Two Integers,Medium,"Math, Bit Manipulation",python3,Accepted,1 / 1,65.71,28.1
30,Substring with Concatenation of All Words,Hard,"Hash Table, String, Sliding Window",c,Time Limit Exceeded,178 / 181,,
30,Substring with Concatenation of All Words,Hard,"Hash Table, String, Sliding Window",cpp,Accepted,1 / 1,55.45,56.95
30,Substring with Concatenation of All Words,Hard,"Hash Table, String, Sliding Window",java,Accepted,1 / 1,94.78,82.47
30,Substring with Concatenation of All Words,Hard,"Hash Table, String, Sliding Window",python3,Accepted,1 / 1,93.0,74.56
31,Next Permutation,Medium,"Array, Two Pointers",c,Accepted,1 / 1,61.33,44.11
31,Next Permutation,Medium,"Array, Two Pointers",cpp,Accepted,1 / 1,87.02,14.58
31,Next Permutation,Medium,"Array, Two Pointers",java,Accepted,1 / 1,29.01,100.0
31,Next Permutation,Medium,"Array, Two Pointers",python3,Accepted,1 / 1,44.75,16.69
32,Longest Valid Parentheses,Hard,"String, Dynamic Programming, Stack",c,Accepted,1 / 1,77.46,100.0
32,Longest Valid Parentheses,Hard,"String, Dynamic Programming, Stack",cpp,Accepted,1 / 1,37.86,37.89
32,Longest Valid Parentheses,Hard,"String, Dynamic Programming, Stack",java,Accepted,1 / 1,95.76,99.54
32,Longest Valid Parentheses,Hard,"String, Dynamic Programming, Stack",python3,Accepted,1 / 1,66.96,48.49
33,Search in Rotated Sorted Array,Medium,"Array, Binary Search",c,Accepted,1 / 1,45.7,100.0
33,Search in Rotated Sorted Array,Medium,"Array, Binary Search",cpp,Accepted,1 / 1,36.3,100.0
33,Search in Rotated Sorted Array,Medium,"Array, Binary Search",java,Accepted,1 / 1,42.33,100.0
33,Search in Rotated Sorted Array,Medium,"Array, Binary Search",python3,Accepted,1 / 1,86.84,28.61
34,Find First and Last Position of Element in Sorted Array,Medium,"Array, Binary Search",c,Accepted,1 / 1,7.52,87.74
34,Find First and Last Position of Element in Sorted Array,Medium,"Array, Binary Search",cpp,Accepted,1 / 1,86.15,48.56
34,Find First and Last Position of Element in Sorted Array,Medium,"Array, Binary Search",java,Accepted,1 / 1,99.3,100.0
34,Find First and Last Position of Element in Sorted Array,Medium,"Array, Binary Search",python3,Accepted,1 / 1,95.51,46.86
35,Search Insert Position,Easy,"Array, Binary Search",c,Accepted,1 / 1,6.42,78.9
35,Search Insert Position,Easy,"Array, Binary Search",cpp,Accepted,1 / 1,84.85,23.26
35,Search Insert Position,Easy,"Array, Binary Search",java,Accepted,1 / 1,70.38,100.0
35,Search Insert Position,Easy,"Array, Binary Search",python3,Accepted,1 / 1,43.81,37.51
36,Valid Sudoku,Medium,"Array, Hash Table, Matrix",c,Accepted,1 / 1,7.36,19.15
36,Valid Sudoku,Medium,"Array, Hash Table, Matrix",cpp,Accepted,1 / 1,24.62,25.88
36,Valid Sudoku,Medium,"Array, Hash Table, Matrix",java,Accepted,1 / 1,56.5,25.4
36,Valid Sudoku,Medium,"Array, Hash Table, Matrix",python3,Accepted,1 / 1,89.87,97.83
37,Sudoku Solver,Hard,"Array, Hash Table, Backtracking, Matrix",c,Accepted,1 / 1,92.05,65.56
37,Sudoku Solver,Hard,"Array, Hash Table, Backtracking, Matrix",cpp,Accepted,1 / 1,70.55,64.77
37,Sudoku Solver,Hard,"Array, Hash Table, Backtracking, Matrix",java,Accepted,1 / 1,85.08,38.09
37,Sudoku Solver,Hard,"Array, Hash Table, Backtracking, Matrix",python3,Accepted,1 / 1,99.0,38.69
38,Count and Say,Medium,String,c,Accepted,1 / 1,50.15,14.8
38,Count and Say,Medium,String,cpp,Accepted,1 / 1,33.29,70.08
38,Count and Say,Medium,String,java,Accepted,1 / 1,91.03,99.3
38,Count and Say,Medium,String,python3,Accepted,1 / 1,99.48,97.64
39,Combination Sum,Medium,"Array, Backtracking",c,Accepted,1 / 1,91.35,83.24
39,Combination Sum,Medium,"Array, Backtracking",cpp,Accepted,1 / 1,96.98,81.89
39,Combination Sum,Medium,"Array, Backtracking",java,Accepted,1 / 1,8.48,99.92
39,Combination Sum,Medium,"Array, Backtracking",python3,Accepted,1 / 1,78.21,97.78
40,Combination Sum II,Medium,"Array, Backtracking",c,Accepted,1 / 1,17.2,100.0
40,Combination Sum II,Medium,"Array, Backtracking",cpp,Accepted,1 / 1,39.27,34.69
40,Combination Sum II,Medium,"Array, Backtracking",java,Accepted,1 / 1,32.16,99.41
40,Combination Sum II,Medium,"Array, Backtracking",python3,Accepted,1 / 1,70.61,69.69
41,First Missing Positive,Hard,"Array, Hash Table",c,Accepted,1 / 1,58.69,96.64
41,First Missing Positive,Hard,"Array, Hash Table",cpp,Accepted,1 / 1,75.34,37.26
41,First Missing Positive,Hard,"Array, Hash Table",java,Accepted,1 / 1,77.81,100.0
41,First Missing Positive,Hard,"Array, Hash Table",python3,Accepted,1 / 1,92.36,47.25
42,Trapping Rain Water,Hard,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",c,Accepted,1 / 1,63.02,82.65
42,Trapping Rain Water,Hard,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",cpp,Accepted,1 / 1,30.12,12.38
42,Trapping Rain Water,Hard,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",java,Accepted,1 / 1,82.26,70.78
42,Trapping Rain Water,Hard,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",python3,Accepted,1 / 1,15.63,65.03
43,Multiply Strings,Medium,"Math, String, Simulation",c,Accepted,1 / 1,25.1,46.77
43,Multiply Strings,Medium,"Math, String, Simulation",cpp,Accepted,1 / 1,61.05,79.59
43,Multiply Strings,Medium,"Math, String, Simulation",java,Accepted,1 / 1,72.79,98.53
43,Multiply Strings,Medium,"Math, String, Simulation",python3,Accepted,1 / 1,57.58,26.21
44,Wildcard Matching,Hard,"String, Dynamic Programming, Greedy, Recursion",c,Accepted,1 / 1,19.6,57.79
44,Wildcard Matching,Hard,"String, Dynamic Programming, Greedy, Recursion",cpp,Accepted,1 / 1,65.99,49.24
44,Wildcard Matching,Hard,"String, Dynamic Programming, Greedy, Recursion",java,Accepted,1 / 1,97.98,100.0
44,Wildcard Matching,Hard,"String, Dynamic Programming, Greedy, Recursion",python3,Accepted,1 / 1,66.34,33.89
45,Jump Game II,Medium,"Array, Dynamic Programming, Greedy",c,Accepted,1 / 1,63.15,98.31
45,Jump Game II,Medium,"Array, Dynamic Programming, Greedy",cpp,Accepted,1 / 1,60.95,65.69
45,Jump Game II,Medium,"Array, Dynamic Programming, Greedy",java,Accepted,1 / 1,88.97,72.18
45,Jump Game II,Medium,"Array, Dynamic Programming, Greedy",python3,Accepted,1 / 1,92.53,47.83
46,Permutations,Medium,"Array, Backtracking",c,Accepted,1 / 1,83.39,18.34
46,Permutations,Medium,"Array, Backtracking",cpp,Accepted,1 / 1,89.3,100.0
46,Permutations,Medium,"Array, Backtracking",java,Accepted,1 / 1,72.23,93.76
46,Permutations,Medium,"Array, Backtracking",python3,Accepted,1 / 1,32.68,47.34
47,Permutations II,Medium,"Array, Backtracking",c,Wrong Answer,15 / 33,,
47,Permutations II,Medium,"Array, Backtracking",cpp,Accepted,1 / 1,17.91,32.42
47,Permutations II,Medium,"Array, Backtracking",java,Accepted,1 / 1,80.83,99.9
47,Permutations II,Medium,"Array, Backtracking",python3,Accepted,1 / 1,47.13,73.24
48,Rotate Image,Medium,"Array, Math, Matrix",c,Accepted,1 / 1,22.37,77.09
48,Rotate Image,Medium,"Array, Math, Matrix",cpp,Accepted,1 / 1,61.18,38.4
48,Rotate Image,Medium,"Array, Math, Matrix",java,Accepted,1 / 1,80.07,100.0
48,Rotate Image,Medium,"Array, Math, Matrix",python3,Accepted,1 / 1,91.88,46.73
49,Group Anagrams,Medium,"Array, Hash Table, String, Sorting",c,Time Limit Exceeded,126 / 126,,
49,Group Anagrams,Medium,"Array, Hash Table, String, Sorting",cpp,Compile Error,0 / 0,,
49,Group Anagrams,Medium,"Array, Hash Table, String, Sorting",java,Accepted,1 / 1,46.49,97.78
49,Group Anagrams,Medium,"Array, Hash Table, String, Sorting",python3,Accepted,1 / 1,83.33,80.83
50,"Pow(x, n)",Medium,"Math, Recursion",c,Accepted,1 / 1,47.25,49.84
50,"Pow(x, n)",Medium,"Math, Recursion",cpp,Accepted,1 / 1,21.38,37.33
50,"Pow(x, n)",Medium,"Math, Recursion",java,Accepted,1 / 1,50.71,100.0
50,"Pow(x, n)",Medium,"Math, Recursion",python3,Accepted,1 / 1,60.47,20.75
51,N-Queens,Hard,"Array, Backtracking",c,Accepted,1 / 1,8.05,100.0
51,N-Queens,Hard,"Array, Backtracking",cpp,Accepted,1 / 1,66.8,82.75
51,N-Queens,Hard,"Array, Backtracking",java,Accepted,1 / 1,66.7,99.8
51,N-Queens,Hard,"Array, Backtracking",python3,Accepted,1 / 1,93.13,40.92
52,N-Queens II,Hard,Backtracking,c,Accepted,1 / 1,16.13,41.94
52,N-Queens II,Hard,Backtracking,cpp,Accepted,1 / 1,80.84,57.54
52,N-Queens II,Hard,Backtracking,java,Accepted,1 / 1,35.72,83.51
52,N-Queens II,Hard,Backtracking,python3,Accepted,1 / 1,73.78,88.93
53,Maximum Subarray,Medium,"Array, Divide and Conquer, Dynamic Programming",c,Accepted,1 / 1,90.09,82.14
53,Maximum Subarray,Medium,"Array, Divide and Conquer, Dynamic Programming",cpp,Accepted,1 / 1,67.2,24.1
53,Maximum Subarray,Medium,"Array, Divide and Conquer, Dynamic Programming",java,Accepted,1 / 1,91.14,99.5
53,Maximum Subarray,Medium,"Array, Divide and Conquer, Dynamic Programming",python3,Accepted,1 / 1,14.11,70.22
54,Spiral Matrix,Medium,"Array, Matrix, Simulation",c,Accepted,1 / 1,18.45,100.0
54,Spiral Matrix,Medium,"Array, Matrix, Simulation",cpp,Accepted,1 / 1,86.2,100.0
54,Spiral Matrix,Medium,"Array, Matrix, Simulation",java,Accepted,1 / 1,83.08,100.0
54,Spiral Matrix,Medium,"Array, Matrix, Simulation",python3,Accepted,1 / 1,89.52,94.24
55,Jump Game,Medium,"Array, Dynamic Programming, Greedy",c,Accepted,1 / 1,92.44,83.76
55,Jump Game,Medium,"Array, Dynamic Programming, Greedy",cpp,Accepted,1 / 1,23.08,66.18
55,Jump Game,Medium,"Array, Dynamic Programming, Greedy",java,Accepted,1 / 1,62.08,79.7
55,Jump Game,Medium,"Array, Dynamic Programming, Greedy",python3,Accepted,1 / 1,51.39,57.08
56,Merge Intervals,Medium,"Array, Sorting",c,Accepted,1 / 1,54.68,50.36
56,Merge Intervals,Medium,"Array, Sorting",cpp,Accepted,1 / 1,68.38,67.69
56,Merge Intervals,Medium,"Array, Sorting",java,Accepted,1 / 1,74.77,86.32
56,Merge Intervals,Medium,"Array, Sorting",python3,Accepted,1 / 1,69.14,67.68
57,Insert Interval,Medium,Array,c,Accepted,1 / 1,54.38,32.5
57,Insert Interval,Medium,Array,cpp,Accepted,1 / 1,45.54,76.43
57,Insert Interval,Medium,Array,java,Accepted,1 / 1,66.98,98.61
57,Insert Interval,Medium,Array,python3,Accepted,1 / 1,70.09,93.91
58,Length of Last Word,Easy,String,c,Accepted,1 / 1,65.12,53.41
58,Length of Last Word,Easy,String,cpp,Accepted,1 / 1,54.58,46.16
58,Length of Last Word,Easy,String,java,Accepted,1 / 1,54.11,100.0
58,Length of Last Word,Easy,String,python3,Accepted,1 / 1,23.28,53.37
59,Spiral Matrix II,Medium,"Array, Matrix, Simulation",c,Accepted,1 / 1,74.52,70.06
59,Spiral Matrix II,Medium,"Array, Matrix, Simulation",cpp,Accepted,1 / 1,77.03,100.0
59,Spiral Matrix II,Medium,"Array, Matrix, Simulation",java,Accepted,1 / 1,35.11,100.0
59,Spiral Matrix II,Medium,"Array, Matrix, Simulation",python3,Accepted,1 / 1,83.92,89.8
60,Permutation Sequence,Hard,"Math, Recursion",c,Accepted,1 / 1,16.67,45.56
60,Permutation Sequence,Hard,"Math, Recursion",cpp,Accepted,1 / 1,85.8,55.33
60,Permutation Sequence,Hard,"Math, Recursion",java,Accepted,1 / 1,86.52,98.33
60,Permutation Sequence,Hard,"Math, Recursion",python3,Accepted,1 / 1,92.81,65.69
61,Rotate List,Medium,"Linked List, Two Pointers",c,Accepted,1 / 1,97.93,73.59
61,Rotate List,Medium,"Linked List, Two Pointers",cpp,Accepted,1 / 1,99.81,18.67
61,Rotate List,Medium,"Linked List, Two Pointers",java,Accepted,1 / 1,68.41,100.0
61,Rotate List,Medium,"Linked List, Two Pointers",python3,Accepted,1 / 1,79.22,29.32
62,Unique Paths,Medium,"Math, Dynamic Programming, Combinatorics",c,Accepted,1 / 1,65.61,60.05
62,Unique Paths,Medium,"Math, Dynamic Programming, Combinatorics",cpp,Accepted,1 / 1,16.82,100.0
62,Unique Paths,Medium,"Math, Dynamic Programming, Combinatorics",java,Accepted,1 / 1,90.17,100.0
62,Unique Paths,Medium,"Math, Dynamic Programming, Combinatorics",python3,Accepted,1 / 1,38.03,53.07
63,Unique Paths II,Medium,"Array, Dynamic Programming, Matrix",c,Accepted,1 / 1,42.68,14.63
63,Unique Paths II,Medium,"Array, Dynamic Programming, Matrix",cpp,Accepted,1 / 1,34.07,100.0
63,Unique Paths II,Medium,"Array, Dynamic Programming, Matrix",java,Accepted,1 / 1,54.8,100.0
63,Unique Paths II,Medium,"Array, Dynamic Programming, Matrix",python3,Accepted,1 / 1,22.9,84.32
64,Minimum Path Sum,Medium,"Array, Dynamic Programming, Matrix",c,Accepted,1 / 1,73.78,50.0
64,Minimum Path Sum,Medium,"Array, Dynamic Programming, Matrix",cpp,Accepted,1 / 1,53.25,17.58
64,Minimum Path Sum,Medium,"Array, Dynamic Programming, Matrix",java,Accepted,1 / 1,19.53,68.5
64,Minimum Path Sum,Medium,"Array, Dynamic Programming, Matrix",python3,Accepted,1 / 1,74.63,81.76
65,Valid Number,Hard,String,c,Accepted,1 / 1,88.82,47.83
65,Valid Number,Hard,String,cpp,Wrong Answer,1351 / 1494,,
65,Valid Number,Hard,String,java,Accepted,1 / 1,94.0,100.0
65,Valid Number,Hard,String,python3,Accepted,1 / 1,88.34,48.02
66,Plus One,Easy,"Array, Math",c,Accepted,1 / 1,85.04,33.95
66,Plus One,Easy,"Array, Math",cpp,Accepted,1 / 1,54.28,100.0
66,Plus One,Easy,"Array, Math",java,Accepted,1 / 1,96.58,100.0
66,Plus One,Easy,"Array, Math",python3,Accepted,1 / 1,77.81,93.06
67,Add Binary,Easy,"Math, String, Bit Manipulation, Simulation",c,Wrong Answer,97 / 296,,
67,Add Binary,Easy,"Math, String, Bit Manipulation, Simulation",cpp,Accepted,1 / 1,56.79,100.0
67,Add Binary,Easy,"Math, String, Bit Manipulation, Simulation",java,Accepted,1 / 1,63.37,100.0
67,Add Binary,Easy,"Math, String, Bit Manipulation, Simulation",python3,Accepted,1 / 1,65.86,82.55
68,Text Justification,Hard,"Array, String, Simulation",c,Accepted,1 / 1,89.16,19.28
68,Text Justification,Hard,"Array, String, Simulation",cpp,Accepted,1 / 1,51.34,100.0
68,Text Justification,Hard,"Array, String, Simulation",java,Accepted,1 / 1,50.93,100.0
68,Text Justification,Hard,"Array, String, Simulation",python3,Accepted,1 / 1,98.89,6.67
69,Sqrt(x),Easy,"Math, Binary Search",c,Accepted,1 / 1,40.32,68.61
69,Sqrt(x),Easy,"Math, Binary Search",cpp,Accepted,1 / 1,97.02,100.0
69,Sqrt(x),Easy,"Math, Binary Search",java,Accepted,1 / 1,73.25,85.94
69,Sqrt(x),Easy,"Math, Binary Search",python3,Accepted,1 / 1,80.97,41.58
70,Climbing Stairs,Easy,"Math, Dynamic Programming, Memoization",c,Accepted,1 / 1,5.8,100.0
70,Climbing Stairs,Easy,"Math, Dynamic Programming, Memoization",cpp,Accepted,1 / 1,31.82,100.0
70,Climbing Stairs,Easy,"Math, Dynamic Programming, Memoization",java,Accepted,1 / 1,99.06,100.0
70,Climbing Stairs,Easy,"Math, Dynamic Programming, Memoization",python3,Accepted,1 / 1,25.66,67.47
